id,subject,text
331,Acidez no leite,"Tenho 2 vacas leiteiras com bezerros de 5 meses. Utilizo o leite para uma
pequena produção de queijo, ultimamente o leite não está mais dando o ponto
quando utilizamos o coagulante. Poderia ser acidez no leite ? Tenho como
fazer um teste ?"
343,Bezerras leiteiras,"eu queria esclarecer algumas duvidas sobre o uso do colostro para bezerras; - Se ele pode ser dado puro para bezerras q ja tenha tomado o leite limpo? ; Se depois de congelado é só descongelalo em banho Maria a uma emperatura de 37 graus e fornecer? - Ou seja, detalhes sobre o uso do colostro."
347,Papilomatose bovina,Papilomatose bovina. Como aduirir o produto PAPILOMAX; Como conseguir a vacina Como colher e para onde enviar o material para fazer a vacina
354,informacao,"gostaria de obter uma informacao.tenho uma pastagem de brachiarao,estou para comecar a atividade leiteira. quero saber se tenho um bom resultado com essa pastagem, ou tenho que troca por outra. e no periodo da seca com irrigacao se tem uma boa germinacao."
387,Informações sobre piquetes,"Necessito saber qual o tamanho de piquetes, para o
    sustento de 50 cabeças de gado de leite holandez,em metros e
    hectares, e qual o capim ideal para a região de barbacena."
397,Feno,"Tenho um pequeno rebanho de vacas girolanda e tres equinos para serviço.
Gostaria de saber se posso fenar capim elefante ( desidratar e picar ou picar
e desidratar)para fornecer a esses animais, considerando que tenho
dificuldades para fazer silagem por nao haver maquinas nas redondezas e pouca
mao-de-obra."
449,FORMULA DE RAÇAO,"GOSTARIA DE SABER ALGUMAS FÓRMULAS DE RAÇÃO UTILIZANDO OS SEGUINTES PRODUTOS

URÉIA
FARELO DE TRIGO
TORTA DE ALGODÃO
FARELO DE AMENDOIM
FUBÁ
SAL MINERAL

GOSTARIA DE 2 TIPOS DE RAÇAO

RAÇÃO PARA VACA ACIMA DE 15 KILOS
RAÇAO PARA VACA ABAIXO DE 15 KILOS

OBRIGADO 

OBS.

RACAO COM 22 DE PROTEÍNA
RACAO COM 26 DE PROTEÍNA
RACAO COM 24 DE PROTEÍNA"
482,Aquisição de Capim Elefante,"Sou de Cuiabá-MT e gostaria de saber como faço para adquirir mudas de capim elefante (napiê), temos gado leiteiro e queremos aumentar a produtividade que hoje é obtida somente a pasto."
489,Papilomax,"Prezados, Tenho tido problemas nos bezerros com verrugas, que forma uma crosta na barbela. Tenho usado Verruclin junto com a retirada e aplicação de sangue, sendo o resultado abaixo do esperado. O gado é girolando / mestiçado. Li sobre o papilomax, onde encontro aqui no centro do rio de janeiro?"
498,silagem para vaca leiteira,"Sou produtor de gado de leite e no inverno gostaria de reforçar a alimentação com silagem de milho. Também planto azevém para as vacas pastarem antes da ordenha. Durante a ordenha coloco ração de acordo com a produção e após a ordenha gostaria de dar silagem, assim diminuindo a ração durante a ordenha e fazendo com que seja mantida a produtividade do animal. Minha leitaria fica no município de Rio Grande, RS. Apresenta um inverno rigoroso diminuindo a produção dos animais. Em resumo, minhas dúvidas são: 1. Existe risco de dar silagem para vacas em lactação; 2. Como calculo a quantidade de silagem para cada vaca; 3. Caso os animais acostumem com a silagem, posso continuar dando silagem o ano todo, diminuindo a ração oferecida."
505,Gado leiteiro,"Por favor eu tenho 11 gado leiteiro que hoje estao rendendo apenas 65 litros de leite no total, mas eu nao estou dando nenhuma raçao somente a alimentaçao no pasto. o que devo fazer para que o gado possa produzir um pouco mais.pois quando eu os comprei eles estavam produzindo serca de 10 litros por cabeça. no total de 110 litros de leite."
513,Utilização de cana-de-açucar,"Sou iniciante na atividade leiteira, e apesar de ter procurado no site da embrapa gado de leite, não encontrei o que procurava, digamos um pacote tecnológico com dados específicos para a utilização de cana de açucar como suplemento forrageiro para a estação da seca. Encontrei várias publicações, mas nada que atendesse a minha demanda.
Eu tenho a cana e um pequeno rebanho jersey de primíparas, das quais algumas vão ser multíparas ao longo do ano.

Bom, gostaria que me indicasse um material de pesquisa que descreva a quantia/dia/animal, conforme a produção esperada, e uma sugestão de manejo, indicando como e quando fornecer.
Li alguma coisa, que o sistema leite a pasto, preconiza cana/concentrado meio a meio, é isso..?
Se eu tiver bastante ""bucha"", qual seria a diferença em deixar o gado pastar isso e suplementar com concentrado,versus cana mais uréia...?

Agora ainda é cedo, mas quero dirimir todas as dúvidas antes que se inicie a seca. Tenho que adquirir triturador, ver onde instalá-lo e principalmente, qual o manejo a adotar."
521,Capim Pioneiro,"Olá, quero saber como eu faço para adquirir estacas do capim Pioneiro, estou em Belém do Pará."
532,Capim elefante,"Fiz no final do ano passado o plantio de 6 ha de Campim elefante com a inteção inicial de ensilar-lo adicionano polpa citrica para reter umidade. Mas, querendo reduzir custos, já que não tenho maquinário sufuciente para a realização do silo, estou pensando em triturar o capim e servir logo em seguida no cocho. Mas picar o capim duas vezes ao dia é complicado. Gostaria de saber seu eu posso hidroliar o capim, como se faz com a cana, ou se ele pode ficar picado de um dia para o outro. Junto com o capim eu vou utilizar resíduo de cervejaria. Obrigado pela atenção."
535,Pagamento por qualidade,"Assumi um treinamento sobre limpeza e manutenção de tanques de expansão
para comunidades de produtores de leite pronafeanos no norte e nordeste de
minas gerais.

Como explicar questionamentos que dizem respeito à politica de pagamento
pela qualidade do leite, uma vez que, a maioria dos pequenos laticínios
ainda não trabalham desta forma?

Haverá alguma fiscalização sobre estes laticínios, ja que existe uma
normativa que determina padrões de qualidade?

Este treinamento faz parte do programa Leite pela Vida do Instituto de
Desenvolvimento do Norte e Nordeste de Minas Gerais (Distribuição de
Tanques de Expansão)..."
582,RAÇÃO PARA GADO DE LEITE,"GOSTARIA DE RECEBER INFORMAÇÕES SOBRE TIPO DE RAÇÕES PARA GADO DE LEITE, COMPOSIÇÃO DE CADA PRODUTO, PORCENTAGEM A SER DESTINADA A CADA ANIMAL, ETC"
585,Uso de vermectina,"Sei atravéz de bulas que não se deve aplicar ivermectina em animais em lactação.Tenho uma vaca que está seca, porém ela está com sete meses de prenhês.ela está tomada de berne. Pergunto: Posso aplicar ivermectina (ivomec Gold) nela ?se eu aplicar ivermectina, quando ela criar(daqui uns 70 dias) eu posso aproveitar o leite?Se não posso aplicar ivermectina em vacas em lactação, como devo tratar vacas que esteja em lactação e infestada de berne, ou esteja com vermes?Ouvi falar que o capim cidronela é bom para combater carrapatos. Isto procede?Se é bom como devo usá-lo?O capim cidronela é o mesmo capim cidreira?"
627,Concentrado para vacas no ultimo mes de gestação,"Caro amigo por favor gostaria de opinão para o concentrado para vacas no ultimo mes de gestação, pois estou fornecendo no cocho um quantia de 1,5kg dia dividido em 02 porções, esse concretado e formando por milho e soja em porção 70% milho e 30%soja qual concretado seria ideal."
648,adubaçao organica,eu presciso saber se tem jeito de fazer adubaçao organica em pastajem de tifton. so organica. porque eu tenho muito esterco de gado e de cavalo.
665,Estalações para produção de leite de vaca,"É isso ai: tamanho, custo, formato."
667,Ração para gado leiteiro,"Comecei criação de gado leiteiro no sítio,disponho de soja em grãos,milho,sorgo,capim elefante,cuim de arroz,bandinha de feijão e uma área de 4,5ha irrigado,fora o outro pasto.Gostaria de receber informação de como fazer uma ração com os produtos acima? por favor mande o mais rápido possivel,estou achando a produção baixa e ñ disponho de pessoas capacitadas aqui na cidade."
687,OBRIGADO,E O BRAQUIARAO O QUE EU JOGO DE FERTILIZANTE ELES SAO 4 PIQUETAO DE 5.000 mtrs CADA PRA POR BEZERRA DE CORTE E ATE QUANTAS BEZERRAS SUPORTA SECA E VERDE ESTES PIQUETE.
708,ccs,"boa noite,

          tenho uma duvida com relacao a ccs no leite. em um mes recebi o relatorio do leite com 1000.000,00 de ccs, comecei a fazer teste de caneca duas vezes por dia mas accs so abaixo para 953000,00, o que pode esta acontecendo?a mastite clinica apresenta ccs e a subclinica tbm aparece? com relacao a agua que lava o tanque e a ordenha se for sem tratamento tbm aparece na ccs. se voce conhecer algum livro que me pudesse ajudar, por favor me indique, pois estou perdendo 5 centavos de qualidade de leite.aguardo."
722,Aquisição da Pomada PAPILOMAX,"Gostariade adquirir a pomada PAPILOMAX para aplicação em novilhas de leite, infestadas com o papiloma virus. Solicito valor, como pagar e forma de envio. Tratamento para 4 animais."
731,leguminosa,"quetipo de leguminosa eu tenho q plantar numa terra no norte de mato grosso é uma terra da aria da amazonas cidade de colniza - MT, Q TIPO DE CAPIM PARA GADO DE LEITE E GADO DE CORTE. A TERRA É UMA SOLO AMARELO COLENTA"
735,Adubação Braquiária,E NO TIFTON QUANTOS BEZERRA DÁ PRA COLOCAR EM 5.000 mtrs DIVIDIDO EM 4 PIQUETE NAS AGUA.
765,gado leiteiro confinado,"Quero implantar o gado leiteiro confinado. Pensei no gersey. Voces sabem qual
a quantidade em quilos de alimento a vaca leiteira confinada consome ao dia.
A vaca gersey é a mais indicada para o confinamento."
804,pasto giggs,"Gostaria de maiores informações sobre o pasto giggs,e de como posso adquiri-lo."
830,Balanceamento de Ração,"Boa noite. Sou pecuarista leiteiro. Gostaria de saber se podem me
    ajudar no balanceamento de ração para meu gado. Possuo o gado Jersey
    e minha média leiteira é de 20 litros por animal/dia. Gostaria de
    usar uma alimentação com base em Cana, Uréia e Cevada. Com esses 3
    produtos consigo fazer uma dieta balanceada para manutenção de minha
    produção ? É necessário mais algum produto ? Qual a sugestão de
    vocês? Desde já agradeço à atenção."
851,Urgente!!!!Papilomax (pomada contra verrugas em equinos),"Gostaria de saber como faço para adquirir a pomada contra verrugas em equinos. Tenho uma égua que está com varias verrugas, elas eram bem pequenas antes mas agora estão enormes.
Moro em Santo Antonio da Patrulha- RS gostaria de saber o preço e se pode ser enviada pelo correio e como faço o pagamento, com deposito bancario ou o pagamento no correio no ato do recebimento."
862,UREIA NA RAÇÃO,"GOSTARIA DE SABER SE POSSO USAR SAL MINERAL JA COM UREIA ELE TEM 93% DE PROTEINA BRUTA MISTURADO NA RAÇÃO , MAS ESSA RAÇÃO É FORNECIDA EM FORMA DE SOPÃO ??? SE NAO PODE PORQUE ??? NA PROPORÇÃO DE 3% DA RAÇÃO , OU SEJA UM SACO PARA 1000 KG. É 4 KG POR VACA DIA . 2 TRATOS . ELAS COMEM MUITO RAPIDO ."
870,Perdas de Leite e carne Bovino Carrapateado,"Bom dia, Gostaria de receber ou indicaçào artigo que mostra quais as perdas ocorridas nos bovino de leite e corte. EX.:Qtde de leite que uma vacas estando com carrapato vai diminuir sua produção."
877,Aumento de CCS,"Tenho uma vaca com mastite crônica em uma teta, gostaria de saber se o leite das demais tetas tem a CCS aumentada mesmo com teste de cmt negativo. Estou fornecendo este leite para as bezerras. Posso envia-lo para a industria?"
905,Silagem de anapier com cevada,"meu gado e Jersey e Jersolando, a alimentação que possuo é silagem de anapier cameron, gostaria de acressentar cevada na silagem, mas preciso de maiores informaçãoes a respeito"
925,Manejo de gado,"Solicito informações sobre alimentação suplementar de gado de leite no periodo entre a época de águas e a seca, ou seja na transição e depois na seca.
Qual o periodo certo para iniciar a suplementação de modo a evitar a diminuição do volume de leite?
Deve ser diferente a alimentação no periodo de transição e depois na seca?
E quaisquer mais informações sobre esse assunto que puderem me informar."
941,irrigação de pasto,"Tenho um sítio no município de Luziânia (entorno de Brasília) de uns 15ha com disponibilidade de muita água, crio 15 vacas leiteiras (girolanda) e entrego leite à Itambé. Gostaria muito de implantar um sistema de irrigação por aspressão em malha na pastagem em uns 3ha que margeiam uma represa. Para tanto, gostaria de receber orientações como: a distância dos aspressores e sua vazão ideal, a potência ideal da bomba, a dimensão do cano principal e dos derivados. O declive do terreno em seu ponto mais alto é de aproximadamente uns 2 metros."
943,Articulação da perna da vaca,"Temos uma vaca de leite que travou a perna direita. Anda com a perna arrastando. Isso começou 30 dias antes de parir. Inicialmente parecia caimbra. Já perdemos uma vaca com o mesmo problema, pois, caiu, se machucou e teve que ser sacrificada. Na época 02 veterinários não conseguiram solucionar o problema."
959,Cana de açucar,"Tenho uma área de cana de açucar super dimensionada para o meu rebanho, que utilizarei na seca para fornecimento de volumoso. Tenho a alternativa, aqui onde moro, de vender parte dela a garapeiros.

Assim sendo, teria uma proporção maior da parte de cima da cana, a verde, com folhas, para dar ao gado, em relação a parte de baixo, que iria, em parte, embalada em feixes para a venda.

Procurei em trabalhos técnicos mas não encontrei, se haveria algum prezuízo ou não, em relação a proteína, energia, etc...nesta alteração de proporção, caule x folhas, na alimentação do gado, e na produção de leite.

Vc poderia me dizer, ou indicar algum trabalho que me forneça estes dados.?"
978,ESPECIFICAÇÃO DE SAL MINERAL,"NO INDICE FORMULAÇÕES DE MISTURAS MINERAIS QUE SE APRESENTA NA INSTRUÇÃO TECNICA PARA O PRODUTOR DE LEITE N. 1518-3254, GOSTARIA DE SABER A ESPECIFICAÇÃO DE CADA FORMULA EM RELAÇÃO A CATEGORIA ANIMAL EQUAIS OS INDICES JA TRANSFORMADOS DE FOSFORO E CALCIO, OU SEJA, A FORMA MAIS COMUM DE SE VERIFICAR DE MODO SIMPLES O PRODUTO ADQUIRIDO NO MERCADO."
1033,palma ou capim elefante,"No verão qual é o tipo de alimento mais recomendado para o gado leiteiro?
Palma ou capim elefante. E como suplemento alimentar qual seria mais o
indicado no período da seca? Soja, farelo de milho, farelo de trigo ou
pasta. E é verdade que as vacas podem comer cascas de frutas como banana,
jaca, manga, etc?"
1039,GADO DE LEITE,"ESTOU INICIANDO NA ATIVIDADE LEITEIRA; SEMPRE VEJO EM FOTOS, NA INTERNET OU EM REVISTAS, VACAS SENDO ALIMENTADAS DURANTE A ORDENHA; QUE ALIMENTO OFERECER DURANTE A ORDENHA?? O CONCENTRADO SÓ PODE SER OFERECIDO APÓS A ORDENHA??"
1040,Ração para gado de leite,"Em fevereiro voces encaminharam uma receita de ração para vacas leteiras conforme solicitado por mim. Solicito um esclarecimento quanto a substituição do farelo de soja por soja em grão (plantei na fazenda) se devo usar a mesma quantidade ou caso negativo, qual seria a proporção."
1041,duvidas,tenho um sitio e mandei perfurar um poço atersiano e a agua é salgada. gostaria de saber se eu poço fazer irrigaçao na pastagem para as vacas leiteira. Desde já obrigado.
1044,Gado de leite em confinamento,"Se possível gostaria de receber informações sobre qual o tratamento adequado para  a água utilizada em pedilúvios, para gado de leite em confinamento.
São utilizados 100 litros de água com 10% de sulfato de zinco, 300 g de terramicina em pó e 50 g de permagamato potássio, três vezes por semana."
1074,produção de leite,"tenho algumas vacas ,de padrão medio ,comesei a dar cevada molhada com farelo de soja.a produção aumentou 30%.quero saber de voces ,um pouco sobre a cevada ,. poso dar ela o ano todo?"
1086,ALIMENTAÇÃO DE BOVINOS,"GOSTARIA DE SABER SE HÁ ALGUM TRABALHO COM RELAÇÃO A APROVEITAMENTO DE RESTOS CULTURAIS DE BANANEIRA( PSEUDOCAULE, FOLHAS , ETC ) NA ALIMENTAÇÃO ANIMAL. ONDE ENCONTRO MATERIAL DISPONIVEL ?"
1100,GADO DE LEITE A PASTO,"BOA TARDE! GOSTARIA DE SABER QUAL O MELHOR GADO PARA PRODUÇÃO DE LEITE A PASTO, O MAIS INDICADO, POREM PRETENDO DAR APENAS CANA MOIDA, CAPIM E MILHO OU SOJA. QUAL DESTES E MELHOR E QUE POSSO DAR A ESSES ANIMAIS SEM PROBLEMA NO DECORRER DO ANO."
1104,capim mombaça,Gostaria de obter informações sobre o capim mombaça. Seu uso para gado de leite.
1112,gado simental- dupla aptidão,"Se possível gostaria de receber informações sobre gado dupla aptidão simental,e se há criatório no Distrito Federal ou Goiás. desde já agradeço."
1131,QUALIDADE DE LEITE,"gostaria de saber como pode ser armazenado o colosso para fazer banco de
colosso?"
1133,Dica,"Qual receita para aumenta a prodição de leite de 5 vacas com media de 15 litro so que elas estão com a producao diaria de 10 lts so em uma tirada. Quero tirar leite no periodo da tarde, quero saber . Horario: Quantidade de raçao seca e Qual racao ?? é Preciso Volumoso ?? ou só racao seca ?? o Campim esta baixo !! Qual volumoso ?? Eu tenho so cana ?? Posso comprar o Minho seco ? qual o ganho e quanto pode aumentar ??"
1134,Cana hidrolisada,"Gostaria de informações sobre cana hidrolisada. Qual o tipo de cal ideal? Encontrei um mateiral orientando que a cal de pintura ou de construção não pode ser utilizada por riscos de intoxicação. Gostaria de saber porque esta intoxicação, quanto tempo leva para que esta intoxicação ocorra e o que pode ser feito para salvar o animal. Caso este venha a ingerir uma cana com cal de pintura uma única vez, ainda assim é perigoso a intoxicação?"
1139,gado com mosca,"Possuo uma propriedade rural de 3 hec. situado em Belmiro Braaga, e o tenho 9 cabeças sendo que estamos com diversas moscas possadas no gado. como podemos combater estas moscas? Uma outra dúvida é quanto uma bvezerra que esta cheia de berrugas, como combater."
1156,tourinhos ou bezerros,Como devo proceder para adquirir tourinhos gir ou holandes diretamente da EMBRAPA e qual a unidade mais próxima de minha cidade.
1157,FERMENTAÇÃO DO LEITE,Solicito informação sobre que tipo de fermentação do leite produz coloração rósea sobrenadante. Que tipo de microorganismo está comumente associado a este tipo de fementação? O leite com esta característica é apropriado à produção de laticínios? Que tipo de contaminação pode causar este problema?
1160,piquete para gado de leite,"possuo uma area 250 x 450 x 190 x 510 metros e gostaria de piquetia-la; total de vacas 40 vacas, o capim plantado é o monbaça, junto com milheto. gostaria se possivel a medida de cada piquete e o tempo que necessita o animal permanecer no referido piquete"
1162,tourinhos ou bezerros,"Gostaria de saber qual tem sido os valores (mínimo e máximo) desses tourinhos nos leilões realizados aí em Juiz de Fora?

Tenho interesse em participar do leilão previsto para julho/10."
1171,Berugas no rebando de criar,"Tenho uma pequena propriedade de gado de leite, quase todos os bezerros estão com berugas pelo corpo, principalmente no perscoso. Já fiz tratamos com vários remédios, não estou conseguindo combater. Por favor me ajudem, não tenho mais a quem recorrer. Acho que causa pode ser morcegos, esotu próximo a uma serra de mata virgem;"
1178,Contato,"Tenho uma propriedade para produção de leite, 50 hectares;
 
De 2 anos para cá, apareceu berugas nos bezerros, não estou conseguindo combaté-las;
 
Já consultei veterinário, apliquei vários medicamentos;
 
Por favor, me ajudem a encontrar alguém dentro da EMBRAPA que consegue me ajudar;
 
Primeiro passo, foi isolar o bezerros infectados;
 
Mas não adianta, de uma hora para outra aparece nos outros bezerros;
 
Acho que o causador pode ser morcegos, uma vez que estou localizado em uma área próximo de uma serra;"
