id,text
169,"Para vacas de alta produção, acima de 20 litros / dia, o ideal é fornecer um volumoso de melhor qualidade, se possível silagem ( de milho ou de sorgo), mais uns 2 ou 3 quilos de feno de Cynodon . Mas, pode fornecer a cana mais a uréia, desde que os animais estejam bem adaptados e a cana seja de boa qualiade ( alto teor de açúcar)."
196,"OLHO DOENTE?

     Várias doenças podem afetar os olhos dos bovinos. Pode ser um traumatismo (pancada ou batida, penetração de capim ou ramo no olho do animal), deficiência de minerais, deficiência de vitamina A (difícil de acontecer em animais mantidos a pastos), entupimento do canal lacrimal, animal de idade avançada ou alguma doença provocada por vírus ou bactéria. Nestes casos, o mais indicado é consultar um médico - veterinário local para ele examinar o animal doente e depois indicar as causas e o tratamento.

    Inicialmente é preciso verificar se o problema está ocorrendo em apenas um animal, o que pode ser causado por um traumatismo. Se o problema ocorre em mais de um animal, pode ser um problema do rebanho, como uma doença virótica ou bacteriana cuja transmissão pode ser feita por insetos (por exemplo, moscas).
Exemplos de doenças: 

1) Ceratoconjuntivite infecciosa ou Queratoconjuntivite infecciosa bovina.
Também conhecida popularmente como ""olho rosado"", é uma doença provocada pela bactéria Moxarella Bovis, sendo que existem diferentes cepas (tipos) dessa bactéria. O contagio pode ser pelo contato direto entre animais (secreções  conjuntival ou nasal), ou transmitido por moscas, que é o principal vetor de disseminação da enfermidade. É uma doença que pode afetar todo o rebanho bovino da propriedade.
O principal sintoma é que fica escorrendo lágrimas e tem carne esponjosa no olho. A doença começa com uma inflamação na mucosa que recobre o globo ocular e a parte interna da pálpebra, podendo atingir os tecidos inferiores da córnea. Bovinos jovens são mais susceptíveis do que os adultos. A doença ocorre mais na época do verão.
O tratamento é à base de Oxitetraciclina a 4% na forma de pomada ou colírio durante 6 dias. (exemplo de produto comercial: Terracotril spray, aplicar duas vezes ao dia, durante quatro a cinco dias seguidos. Alguns veterinários recomendam a aplicação de antibióticos juntamente com corticóides nos casos de lesão na córnea. Mas somente medicamentos que não sejam irritantes podem ser aplicados por esta via. Às vezes é preciso raspar ou cortar a carne esponjosa com um bisturi previamente desinfetado.  
Existe no mercado vacina contra Ceratoconjuntivite infecciosa, ou pode-se fazer vacina autógena em uma escola de veterinária.
Outras boas medidas de controle é o isolamento dos animais doentes, a higiene dos equipamentos e o controle de moscas.

2) Queratite ou Ceratite

3) Conjuntivite traumática

4) IBR - Rinotraqueite Infecciosa Bovina.

5) Entupimento do canal lacrimal 


As doenças dos itens de um a cinco têm sintomas semelhantes. 
Tratamento: nos animais com lacrimejamento, mas que não tem úlcera no olho usa-se o medicamento Oxitetraciclina LA injetável numa só aplicação intramuscular. Dosagem conforme prescrito na bula do produto. Manter o animal em repouso em local de pouca luminosidade; fazer limpeza das instalações; fazer limpeza dos equipamentos; e proceder a um bom controle de insetos vetores (moscas). 

Nos casos de IBR a doença pode estar no rebanho. Neste caso é necessário para fazer exames e propor as medidas de controle. O tratamento para IBR pode ser à base de água boricada a 3%; passar três vezes ao dia até desaparecer os sintomas."
197,"Abaixo enviamos fórmula de ração concentrada para vacas em lactação.

       Em princípio, preparar o concentrado na fazenda é mais econômico e seguro, porque o produtor tem o controle sobre os ingredientes utilizados. Isso só funciona bem se o produtor tiver facilidade, disponibilidade e regularidade na aquisição dos ingredientes para compor a ração, além de bons preços. Entretanto, é importante misturar bem os ingredientes e depois armazenar a ração em local seco e ventilado.

    Uma ração de boa qualidade e de baixo custo é:

    Uma fórmula de ração de baixo custo, especialmente para rebanhos de produção média abaixo de 15 litros por vaca por dia, é: 80 kg de fubá de milho; 14 kg de farelo de soja; 2 kg de uréia; 1,5 kg de calcário calcítico; 1,5 kg de sal mineral e 1,0 kg de fosfato bicálcico. Esta ração tem aproximadamente 19% de PB e 70% de NDT. Fornecer como explicado abaixo.

     Caso tenha dificuldades de encontrar os ingredientes pode utilizar uma fórmula semelhante: 80 kg de fubá de milho, 15 kg de farelo de soja, 2 kg de uréia  e 3 kg de sal mineral (ou pode colocar 3 kg de núcleo mineral próprio para formulação de ração concentrada).

     Outra fórmula de ração para rebanhos com produção média acima de 15 litros por vaca por dia, é: 70 kg de fubá de milho; 24 kg de farelo de soja; 2 kg de uréia; 1,5 kg de calcário calcítico; 1,0 de sal comum  e 1,5 kg de fosfato bicálcico. Esta ração tem aproximadamente 22 % de PB e 70 %  de NDT. Fornecer como explicado abaixo.

    Fornecer na razão de 1 quilo de concentrado para cada 2,5 litros de leite produzidos, considerando a produção diária acima de 8 litros, isto se a pastagem for de boa qualidade; em pastagens de pior qualidade, ou quando o gado estiver recebendo cana mais uréia durante o dia e ainda tiver acesso a uma pastagem no período noturno, deve-se considerar a produção acima de 5 litros de leite por dia. Fornecer sempre metade da ração concentrada pela manhã e a outra metade à tarde.

   Nas fórmulas citadas acima, pode-se substituir até 30% do milho por igual quantidade de polpa cítrica sem grandes alterações na fórmula. Isto desde que o preço da polpa cítrica seja menor do que 85% do preço do milho moído. Pode-se substituir até 30% do farelo de soja por igual quantidade de farelo de amendoim ou farelo de girassol. Isso desde que o prelo seja compatível.
    
   Entretanto, o melhor mesmo é consultar um  especialista em nutrição animal que possa ir até a sua propriedade e elaborar uma dieta completa para o seu gado leiteiro.

    Para ter assistência técnica em sua propriedade sugerimos procurar a ajuda de um Engenheiro agrônomo, Zootecnista ou Médico veterinário aí na sua cidade. Conhecendo bem a região o profissional local poderá fornecer as orientações técnicas de acordo com as necessidades e condições regionais. Mas sempre que precisar poderá enviar as suas perguntas para nós que o atenderemos com prazer."
201,"Sobre as suas perguntas, veja as respostas.
	
     1 - Usar Aditivos? Quais?
      Sim, é necessário usar um aditivo biológico para minimizar a fermentação alcoólica. No mercado há vários produtos para este fim.

     2 - Usar cal hidrolisado ao fazer as camadas do silo?
      Não é necessário. 
     
      3 - Usar ureia? como?
       Sim. Use 1% de ureia. Pode ir esparramando a cana picada e distribuindo a ureia, seca, sem uso de água. Pode-se diluir a ureia em 3 L de água para facilitar a distribuição.

      4 - Tamanho do silo, áéreo ou trincheira ( esta nós temos).
        Use, de preferência, silo trincheira. Evite usar silo de superfície. Picar a acana em pedaços de 1 a 1,5 cm. Encher o silo rápido. Compactar bem. Cobrir com lona de dupla face. Sobre a lona, coloque terra. Depois de 30 dias, o silo pode ser aberto.
        O tamanho do silo deve ser calculado conforme a quantidade de silagem a ser armazenada."
209,"Sim, todas as cultivares de capim-elefante se adaptam bem em todo o Brasil.

    Sobre mudas de capim-elefante Pioneiro, informamos:

   A variedade de capim-elefante Pioneiro é plantada por mudas, como todas as outras, exceto uma.

   A vantagem do plantio por mudas é que  o capim Pioneiro  é um híbrido entre duas cultivares de capim-elefante e a heterose está  fixada nas cultivares, que são consideradas como clones (como em todas as demais  espécies propagadas por mudas). Daí porque elas são tão vigorosas. 

   A cultivar Pioneiro foi desenvolvida pela Embrapa Gado de Leite especialmente para uso em pastejo rotativo, não se prestando para corte ou capineira, pois o caule é muito fino e as touceiras muito altas tombam.

    A taxa de multiplicação é de 1 para 10  a cada 100 dias, no verão. Assim, cada muda plantada no início de janeiro irá produzir 10 novas mudas no início de abril. Cerca de 3 quilos são suficientes para se formar um viveiro e multiplicar as mudas."
210,"Não temos de plantas ou projetos de instalações específicos, baseado no fato de que os mesmos são feitos mediante um levantamento completo da propriedade, não se recomendando implantar um projeto elaborado para uma determinada fazenda, em outra propriedade ou região, sem que se faça as devidas correções e adaptações.  As instalações são investimentos caros e por isso, devem ser bem estudadas e bem planejadas para cada caso específico.

As principais instalações são as seguintes:
       1.  sala de ordenha e seus acessórios;
       2.  currais de espera e saída;
       3.  cocho coberto para alimentação volumosa e concentrada;
       4.  currais de manejo, com tronco de contenção, balança e embarcadouro;
       5.  silos trincheira ou de meia encosta;
       6.  bezerreiros ou abrigos individuais;
       7.  pedilúvio;
       8.  depósitos;
       9.  sanitários;
      10. escritório

          Como regra geral, as instalações devem ser simples, baratas, funcionais e duráveis. 
Para construção de currais pavimentados (piso de concreto cimentado ou de pedra), recomenda-se um espaço de 4,7 a 7,0 m2 por cabeça. Menos do que 4,7 m2 pode provocar estresse nos animais; mais o que 7,0 m2 aumenta muito o custo da construção. Para cochos cobertos (comedouros), recomenda-se de 0,60 a 0,70 m linear de cocho por cabeça.

Antes de construir e comprar equipamentos, é recomendável visitar outras propriedades para ver o funcionamento dos equipamentos, o tipo e a funcionalidade das instalações. Sempre se aprende um pouco e se evita erros simples e mesmo os grosseiros. Às vezes pequenos detalhes são importantes, como a saída dos animais ou a colocação de pedilúvio, tronco, etc.
Para comprar equipamento de ordenha, o principal é comprar de firma idônea e que tenha assistência técnica e peças de reposição na região. Quando estragar precisa consertar rápido.
O mais importante de tudo é a assistência técnica de um profissional competente. Sugerimos consultar um técnico (Engenheiro agrônomo, Médico veterinário ou Zootecnista) aí na sua região/cidade, pois conhecendo a realidade local muito bem ele vai poder auxiliá-lo. Pagar por assistência técnica implica em 2 a 3% sobre os custos de produção do leite, mas pode ter um impacto profundo na propriedade, até mesmo definindo o sucesso e o crescimento da propriedade.
           De preferência consulte o técnico da Assistência Técnica Oficial (Emater, etc.) ou da cooperativa local, ou da empresa que compra o leite da propriedade, pois eles têm como missão atender aos produtores."
216,"Para instalar qualquer tipo de laticínio é preciso contratar um consultor especializado no assunto, pois é bastante complexo.

            Para obter informações e literatura sobre queijos e outros produtos lácteos, ou sobre projetos de laticínios, equipamentos e fornecedores para indústria láctea, favor contactar o Instituto de Laticínios Cândido Tostes, da EPAMIG, que é a Instituição de referência nacional em produtos lácteos."
219,"Para fazer o feno é só cortar, enleirar, revirar 4 a 6 veses ao dia ( acelera a perda de umidade), e deixar ao sol por dois a três dias seguidos. Quando a umidade abaixar de 14%, já pode fazer os fardos e guardar.
     Para isso é preciso dispor de equipamentops adequados. O feno é um bom alimento para bezerras, vacas e novilhas. E a qualide é constante e tem fibra de boa qualidade, o que facilita o animal ruminar.

    E a qualidade do feno vai depender da época de corte. Se cortar mais novo, a qualidade é melhor, embora a produtividade seja menor. No verão, pode-se cortar entre 26 e 30 dias. Corte rente ao solo.
    Pequenas quantidade de feno podem ser feitas manualmente. É só cortar e ir revirando com um gancho. Depois ensacar ou enfardar. A Emater-MG, tem um modelo de carrinho que permite fazer os fardos. Dá um rendimento razoável e aproveita-se bem o excesso de pastagem.

    No feno não se coloca uréia.

    Mas também poderá ensilar a braquiaria. Fazer silagem pré-secada. Aí é só cortar o capim, deixar ao sol por 4 a 6 horas. Nesse tempo a umidade vai cair, e quando estiver com 30 a 35% de matéria seca, aí é só ensilar. Mas também precisa  dispor de equipamentos adequados.

    Outra possibilidade, e talvez a melhor e mais fácil de fazer, é reservar a pastagem de braquiária, em fevereiro e março, fazendo feno-em-pé. Depois, pode-se usar a pastagem em maio,  junho e julho. Mesmo seco, os bovinos consomen o capim. Se for preciso é só dar um pouco de mistura múltipla, que tem ureia , e aí o gado consome melhor o capim seco. Se for preciso, é só fazer uma cerca e dividir a pastagem e reservar a metade dela. Essa talvez seja a melhor alternativa de uso do excesso de forragem, principalmente para aqueles produtores que não dispõem de equipamentos apropriados para a ensilagem ou fenação ( e também na região seja difícil de alugar)."
221,"Sugerimos cortar o capim-elefante com idade entre 45 e 50 dias após cada corte. e deverá adubar com 1000 kg/ha /ano com adubo da fórmula 20-05-20. E se irrigar a capineira, deverá colocar mais 500 kg/ha/ano de sulfato de amônio.

   E para ter assistência técnica em sua propriedade, sugerimos procurar ajuda na Emater do Ceará aí de sua cidade ou região. O segredo do sucesso é contar com a assistência técnica de um profissional do setor."
277,"Leia o texto abaixo que esclarecerá bastante sobre o uso de volumoso e de concentrado. 

    Ao usar cana mais ureia e pré-secado de alfafa, meio a meio, essa mistura deverá garantir uma produção de 10 L de leite por vaca/dia. A partir desse valor, a senhora deverá fornecer 1 Kg de ração concentrada para cada 2,5 L de leite produzidos. Use ração com 18 a 20% de proteína e acima de 70% de NDP.

    Produção de leite a pasto com suplementação de concentrado.
 
Os bovinos evoluíram ao longo de milhares de anos se alimentando de pastagens. Portanto, capim verde é o alimento preferido e natural dos bovinos. E o pasto verde é rico em proteínas, energia, mineral e vitaminas, além de prover fibra longa e de boa qualidade para permitir um bom funcionamento do rúmen desses animais. A pastagem é o alimento mais barato que existe para a alimentação dos bovinos. Assim, deve-se fornecer sempre o máximo possível de pastagem para eles durante todo o ano, de preferência no sistema de pastejo rotativo.
 
Entretanto, o consumo de pastagem pelos bovinos tem limitações físicas. A quantidade de matéria seca que um bovino precisa ingerir para produzir mais de 12 litros de leite por dia é muito grande e não cabe no rúmen da vaca. Ou seja, há uma limitação física na ingestão de capim. Assim, a produção de leite é limitada pela quantidade de capim ingerida pela vaca (e também é limitada pela qualidade e quantidade de ração concentrada fornecida ao bovino). Também, há limitações impostas pela qualidade do volumoso, pois gramíneas velhas, com alto teor de fibras, alto teor de lignina, baixo teor de proteínas e baixa digestibilidade  diminuem a capacidade de ingestão dos bovinos. E todos estes fatores, isolados ou em seu conjunto, diminuem o consumo e o aproveitamento da pastagem por eles.

Uma pastagem de boa qualidade, bem manejada, pode permitir produções de leite de 7  até 12 litros por vaca por dia, na média. E, para se obter produção de leite acima desses valores é preciso fornecer ração concentrada. Isto é válido desde que a vaca tenha alto potencial genético para produção de leite, além de boa sanidade e boas condições de conforto.  
 
De modo geral, uma boa pastagem de Braquiária permite a produção diária de 7 a 8 litros de leite por dia. Boas pastagens de gramíneas dos gêneros Cynodon (Coast-cross; Tifton-85; Jiggs; Grama estrela, etc.) e Panicum (Tanzânia; Mombaça; Massai), permitem uma produção de 10 litros de leite por vaca e por dia. Já uma boa pastagem de Capim-elefante, permite uma produção de 12 litros de leite por dia. Estes valores referidos são para pastagens bem formadas, bem manejadas, em sistemas de piquetes rotativos e na época do verão (nas águas). Se o volumoso for silagem (de milho ou de sorgo) ou feno de gramínea, sustenta uma produção de até 10 litros por vaca e por dia. Para se obter produção de leite maior do que os valores citados acima é preciso que se forneça uma ração concentrada de boa qualidade, para poder suprir as necessidades de nutrientes da vaca. 
  
Geralmente se recomenda usar uma ração concentrada com 18 a 20% de proteína bruta (PB) e acima de 74% de energia (medida em NDT), na base de 1 quilo de ração concentrada para cada 2,5 litros de leite produzidos acima dos tais valores já mencionados anteriormente. Mas, isto tudo é válido desde que a vaca tenha um bom potencial genético para produção de leite, esteja em boas condições corporais, boa sanidade, sem estresse, bem manejada, etc.
 
Recomenda-se fornecer sempre metade da ração concentrada pela manhã e a outra metade à tarde.
 
Na verdade o que limita a produção de leite pelas vacas, mantidas em pastagens, é a elevada quantidade de capim que ela deve ingerir para que  possa produzir mais de 12 litros de leite por dia. A quantidade de capim não cabe no rúmen do bovino. Ou seja, é uma limitação física. Mas, se o teor de fibra for muito elevado, e (ou) se a fibra for de baixa qualidade, isso também é uma limitação física"
283,"Na página na internet da ""Casa do Queijeiro"" há inúmeras receitas de produtos lácteos. E eles também comercializam equipamentos e ingredientes para produtos lácteos."
287,"Para se ter uma boa pastagem é necessário que se faça um bom manejo do pasto e um bom manejo da pastagem começa pelo solo, sendo assim, fazer uma análise do solo é necessário, pois assim conheceremos o que o solo está precisando para um bom plantio da esécie da forragem escolhida, aí é só manejar de acordo com as técnicas de manejo.    

      Sugerimos procurar ajuda com o pessoal da EMCAPER aí da sua região."
291,"O teste é confiável sim, desde que seja bem feito, e respeitando alguns cuidados para a realização do teste, ou seja,  utilizando uma técnica adequada."
293,"Tudo irá depender de como será o manejo da pastagem, pois todas as espécies que temos por aqui também tens aí e já adaptadas ao solo, clima, temperatura e etc. O mais importante é fazer uma análise de solo e verificar as condições do solo daí da região, escolher a variedade de acordo com a análise e manejar de maneira correta a pastagem. Sugerimos ainda pedir ajuda de um profissional da área agronômica ou para o pessoal da extensão rural aí do seu município que a CATI."
306,"Muito provavelmente o leite não está ácido. Veja detalhes abaixo.

    QUESTÕES SOBRE LEITE ÁCIDO 

    O LEITE ESTÁ ÁCIDO: COMO EVITAR OU CONTROLAR A ACIDEZ DO LEITE ?
COMO FAZER E AVALIAR O TESTE DO ALIZAROL?
COMO SABER SE O LEITE REALMENTE ESTÁ ÁCIDO?
COMO DETECTAR LEITE ÁCIDO NA FAZENDA?


1)	Como detectar a acidez do leite?

   A acidez do leite é geralmente detectada por meio de testes. Entre estes estão: 
a) acidez titulável (medida em graus Dornic). O normal é de 14 a 18 graus Dornic.
b) pH; o leite é normal quando apresenta pH entre 6,6 a 6,8.
c) um teste fácil que pode ser feito na propriedade é a fervura do leite. Leite realmente ácido coagula durante a fervura.
d) outro teste que se usa muito é a coagulação pelo alizarol, porém esse teste avalia a termoestabilidade do leite ( estabilidade do leite ao ser aquecido). Esse teste também dá uma ""indicação"" da acidez do leite. Porém, esse teste pode dar positivo pôr outras causas além da acidez.    
    Ou seja, o teste do alizarol é um indicativo da ""TERMOINSTABILIDADE"" do leite e tem uma CORRELAÇÃO com a acidez do leite. Mas não é um teste preciso para se avaliar a acidez do leite.   Ainda, o teste do alizarol pode indicar positivo termoinstabilidade do leite sem que o produto esteja ácido.

Em casos de dúvidas, devem ser feitos outros testes com o leite, como:
a)	 a análise de composição;
b)	 a contagem de células somáticas (CCS), feito em laboratório especializado;
c)	 a contagem total de bactérias ( CBT);
d)	 teste da redutase.


2) Teste do Alizarol 
O teste do álcool, conhecido como ""teste do alizarol,"" ou ""estabilidade ao alizarol"", é uma prova rápida que avalia o grau de estabilidade térmica do leite. Na verdade o teste avalia a estabilidade da fase protéica do leite ao tratamento térmico, que pode ser pela pasteurização ou esterilização a que o leite será submetido nas indústrias. 
O aquecimento do leite leva a proteína instável a flocular, ocasionando problemas nos equipamentos, pela formação de crostas, e prejudicando a transferência de calor, diminuindo muito a eficácia do processo de pasteurização ou de esterilização do leite, com a consequente diminuição na durabilidade do produto por problemas microbiológicos. 
Dependendo do grau de instabilidade da fase protéica do leite e do tempo de prateleira dos produtos lácteos nos estabelecimentos comerciais, poderá haver sedimentação de proteína no fundo da embalagem provocando alterações na qualidade do produto lácteo, podendo inviabilizar a comercialização desses produtos.
Também, a floculação de proteína nos equipamentos durante o processo de tratamento térmico, aumenta a necessidade de maior número de higienização por período de funcionamento, onerando os custos industriais.

3) Causas da acidez do leite
As causas que podem levar o leite a não passar na prova do alizarol são:
a) Fisiológicas - leite colostral;
b) Patológicas - leite de vaca com mastite;
c) Higienização ou Conservação - leite com alta contaminação por microorganismos e /ou mal conservado após a ordenha. 

Outras possíveis causas da instabilidade protéica são: 

d) Desbalanço nutricional: principalmente na relação Ca:P e outros desbalanços minerais; 
e) Problemas fisiológicos: algumas vacas, por problemas fisiológicos, produz leite levemente ácido;
f)  Atividade enzimática;
g) Composição do leite fresco; 
h) Leite de vaca em final da lactação. Ao final da lactação a produção de leite de toda vaca cai bastante e aí pode alterar a composição do produto;
i) O tecido mamário  ligeiramente irritado ou inflamado.

Quando o leite apresenta acidez é porque ocorreu a multiplicação de microrganismos e a principal causa é a falta de higiene. Para se evitar este problema é preciso revisar todos os procedimentos de higiene de ordenha, de limpeza dos utensílios (baldes, latões ou ordenhadeira, se houver, etc.), de limpeza do curral, umidade do"
307,"A Papilomatose, Verrugose ou Figueira é uma doença provocada por vírus. A transmissão da doença se dá por contato entre animais doentes ou com objetos contaminados. No mercado já existem alguns produtos para o tratamento, uns injetáveis e outros de uso tópico.

	A Embrapa Gado de Leite desenvolveu um produto específico para tratamento da papilomatose, trata-se da Papilomax®, pomada para uso tópico. Até o momento tem funcionado muito bem. A Embrapa Gado de Leite  detém a patente do produto, mas não pode fabricar o produto comercialmente. Havia um laboratório produzindo tal medicamento, mas o contrato venceu e não foi renovado. No momento, não há nenhum laboratório produzindo a Papilomax, estando em fase de procura de um novo laboratório para produzir comercialmente a Papilomax.

Outra forma de curar a doença era através de autovacina, mas isto foi proibido pelo MAPA (Há risco de difundir mais a doença).

	Como a doença é provocada por vírus e a transmissão se dá por contato, a primeira coisa a se fazer é isolar os animais doentes em um piquete separado, até eles ficarem curados.
    
    Entretanto, fora a Papilomax, talvez a melhor alternativa seja a hemoterapia. A dificuldade é que não há informações técnicas. Sugerimos retirar 10 ml de sangue na veia do animal doente e aplicar no músculo. Repetir por 5 vezes a intervalos de 7 dias.
    
   Também, ao observar as primeiras verrugas (ou a primeira)  no animal, pode cauterizar com ferro quente. Isso, às vezes induz a produção de anticorpos e o animal torna-se resistente."
